AATF	135,182,206
RUNX1	84,168,112
RUNX1_mut	161,217,55
RUNX1-RUNX1T1	247,99,8
RUNX1T1	168,196,112
RUNX2	112,168,140
RUVBL1	133,21,58
RUVBL2	25,82,3
RXR	196,224,56
RXRA	196,84,252
RYBP	28,140,196
SAFB	25,244,25
SAFB2	97,59,58
SALL1	74,173,208
SALL2	240,121,197
SALL3	173,72,189
SALL4	151,216,141
SAP30	56,196,28
SATB1	224,56,224
SCRT1	157,226,160
SETDB1	28,28,56
SETX	142,246,199
SFMBT1	224,28,112
SFPQ	121,139,78
SGF29	28,196,168
SHOX2	4,184,169
SIN3A	196,112,252
SIN3B	168,196,84
SIRT3	112,252,112
SIRT6	84,140,56
SIX1	84,224,196
SIX2	28,28,168
SIX4	227,80,178
SIX5	28,224,196
SKI	21,59,30
SKIL	169,238,231
SMAD1	28,112,168
SMAD1-5	234,206,227
SMAD1-5-8	32,223,204
SMAD2	140,84,224
SMAD2-3	106,135,4
SMAD3	140,112,56
SMAD3-EPAS1	139,108,139
SMAD3-HIF1A	123,57,215
SMAD4	28,84,168
SMAD5	168,224,140
SMARCA2	246,183,174
SMARCA4	224,84,252
SMARCA4	234,197,241
SMARCA5	121,251,75
SMARCB1	168,56,28
SMARCC1	28,252,168
SMARCC2	252,224,196
SMARCD3	84,48,145
SMARCE1	24,178,97
SMC1	13,51,21
SMC1A	140,224,224
SMC1A-B	162,68,240
SMC3	252,56,56
SMC3_ac	152,134,185
SMC4	196,252,112
SNAI1	10,105,137
SNAI2	56,84,168
SNAPC1	28,252,28
SNAPC4	112,196,196
SND1	140,56,252
SNIP1	208,49,131
SNRNP70	217,182,73
SOX10	28,28,84
SOX11	224,140,224
SOX13	168,224,224
SOX21	31,168,224
SOX2	168,84,252
SOX3	199,238,198
SOX4	151,217,175
SOX6	224,84,168
SOX8	147,167,129
SOX9	84,84,196
SP1	28,196,84
SP140L	85,15,24
SP2	168,56,84
SP3	230,217,222
SP4	56,84,224
SP5	140,239,54
SP5_Hydra	7,48,166
SP5_Zebrafish	103,1,3
SP7	16,248,251
SPDEF	171,168,238
SPI1	252,28,112
SPIB	84,196,168
SPIN1	218,172,55
SRC	83,100,201
SREBF1	168,252,252
SREBF2	168,28,196
SREBP2	243,106,73
SRF	140,112,224
SRSF1	36,107,42
SRSF3	81,46,29
SRSF4	58,197,78
SRSF7	132,83,233
SRSF9	0,129,47
SS18	239,121,81
SS18-SSX	39,119,172
SSRP1	168,56,224
STAG1	140,196,168
STAG2	123,88,174
STAT1	84,168,224
STAT1_pS727	161,220,127
STAT2	224,140,56
STAT3	140,196,112
STAT5A	196,84,56
STAT5B	168,28,224
SUPT16H	123,136,52
SUPT5H	247,246,179
SUPT5H_phospho	163,145,101
SUPT6H	58,38,85
SUZ12	237,247,218
SUZ12	28,140,84
SVIL	224,224,112
T	168,140,140
TAF1	28,252,252
TAF15	224,140,196
TAF2	224,252,196
TAF3	196,28,140
TAF7	28,224,84
TAF9B	10,18,169
TAL1	112,168,84
TAL1_SCL	112,168,84
TARDBP	168,84,112
TASOR	120,90,35
TBL1X	84,168,252
TBL1XR1	252,252,56
TBP	56,168,28
TBX18	51,62,115
TBX21	168,224,112
TBX2	147,39,37
TBX3	169,77,179
TBX5	80,192,99
TCF12	56,196,196
TCF21	78,122,181
TCF25	168,84,168
TCF3	168,112,84
TCF3-PBX1	13,3,197
TCF4	28,224,224
TCF7	168,84,196
TCF7L2	112,140,224
TCFL5	168,27,23
TCOF1	66,112,123
TEAD1	56,140,140
TEAD2	168,84,84
TEAD4	196,252,56
TERF1	168,196,168
TERF2	224,56,28
TERT	34,130,239
TET2	182,115,237
TFAP2A	84,28,112
TFAP2C	252,140,84
TFAP4	196,112,84
TFCP2	116,119,50
TFDP1	196,140,112
TFDP2	30,100,182
TFE3	213,180,182
TFEB	129,233,111
TFIIIC	127,88,200
TGIF2	196,140,168
THAP11	56,84,140
THAP1	56,140,112
THRA	189,74,6
THRAP3	11,161,69
THRB	179,95,92
TLE3	140,28,140
TOP1	84,224,28
TOP2A	25,146,108
TOX2	1,18,59
TP53	140,56,84
TP53_PS15	140,56,84
TP53_PS46	140,56,84
TP63	84,140,84
TP73	0,230,162
TP73_DELTANP	28,196,112
TP73_TA	28,196,112
TRIM22	196,140,196
TRIM24	252,56,252
TRIM25	169,140,217
TRIM28	252,28,196
TRIM28	38,93,125
TRIP13	37,40,179
TRPS1	186,116,96
TRRAP	140,140,112
TSC22D4	196,140,56
TSHZ1	124,173,210
TSHZ2	32,167,141
TWIST1	112,168,56
U2AF1	226,113,149
U2AF2	126,35,238
UBN1	252,252,168
UBTF	224,168,196
USF1	140,196,224
USF2	252,224,168
USP7	140,140,196
UTX	162,132,215
VDR	84,56,252
VEZF1	182,36,123
WDHD1	97,231,66
WDR5	31,54,179
WRNIP1	196,196,196
WT1	103,119,117
XBP1	224,252,56
XRCC3	236,219,67
XRCC5	113,58,75
XRN2	181,166,8
YAP1	224,28,140
YAP1	5,234,242
YBX1	58,135,11
YBX3	78,17,150
YY1	140,252,224
YY1	168,112,140
YY1AP1	156,122,82
YY2	142,211,25
ZBED1	196,168,224
ZBED2	80,208,170
ZBED4	49,88,174
ZBTB10	70,67,181
ZBTB11	196,196,168
ZBTB1	208,44,25
ZBTB12	218,70,141
ZBTB14	79,96,99
ZBTB16	28,84,252
ZBTB18	52,22,17
ZBTB20	105,207,28
ZBTB21	221,51,217
ZBTB2	138,40,254
ZBTB24	166,238,67
ZBTB26	188,147,123
ZBTB33	252,224,252
ZBTB40	73,149,46
ZBTB42	43,91,240
ZBTB44	181,74,35
ZBTB48	19,42,80
ZBTB49	176,186,46
ZBTB5	215,95,8
ZBTB6	133,57,120
ZBTB7A	196,28,252
ZBTB7B	239,73,188
ZBTB8A	106,132,68
ZC3H11A	196,196,252
ZC3H8	224,252,84
ZEB1	168,84,140
ZEB2	196,196,28
ZFP14	56,161,145
ZFP28	102,67,171
ZFP3	109,44,173
ZFP36	196,224,112
ZFP37	140,20,229
ZFP41	225,184,154
ZFP42	154,210,164
ZFP57	84,26,128
ZFP64	161,80,254
ZFP69	144,217,10
ZFP69B	27,163,3
ZFP82	183,248,145
ZFP90	183,25,123
ZFP91	123,72,171
ZFX	56,196,224
ZFY	132,14,73
ZGPAT	184,177,231
ZHX1	196,224,140
ZHX2	196,224,168
ZIC2	156,0,155
ZIC5	18,75,129
ZIK1	64,172,228
ZIM3	236,96,229
ZKSCAN1	140,252,140
ZKSCAN2	198,82,49
ZKSCAN3	253,41,180
ZKSCAN5	127,238,182
ZKSCAN8	196,224,84
ZMIZ1	196,252,168
ZMYM2	222,36,75
ZMYM3	63,192,22
ZMYND11	28,140,140
ZMYND8	250,172,237
ZNF101	50,69,162
ZNF10	26,53,142
ZNF112	155,73,1
ZNF114	114,10,119
ZNF121	41,113,139
ZNF12	19,9,40
ZNF124	101,175,136
ZNF132	175,69,118
ZNF133	70,114,238
ZNF134	111,230,139
ZNF135	22,115,241
ZNF136	218,30,3
ZNF138	238,248,83
ZNF140	161,198,249
ZNF141	59,220,111
ZNF142	76,63,120
ZNF143	252,196,196
ZNF146	10,135,111
ZNF148	149,73,54
ZNF154	196,222,96
ZNF155	195,117,6
ZNF157	240,203,213
ZNF16	136,237,193
ZNF165	84,56,224
ZNF169	241,149,152
ZNF174	187,28,133
ZNF175	196,252,224
ZNF17	81,107,230
ZNF180	125,54,30
ZNF182	26,109,158
ZNF18	40,212,186
ZNF184	157,198,124
ZNF189	252,236,163
ZNF19	190,243,131
ZNF195	189,8,85
ZNF197	196,252,252
ZNF202	93,103,222
ZNF205	242,252,38
ZNF207	196,28,168
ZNF211	139,60,196
ZNF212	116,186,50
ZNF213	128,245,5
ZNF214	120,235,219
ZNF215	93,214,173
ZNF2	1,71,234
ZNF217	56,168,112
ZNF221	31,84,104
ZNF222	241,101,88
ZNF223	51,82,85
ZNF224	145,111,222
ZNF225	164,132,228
ZNF22	83,183,72
ZNF23	187,77,241
ZNF232	7,227,228
ZNF239	5,150,215
ZNF24	196,28,28
ZNF248	107,2,155
ZNF250	212,43,209
ZNF25	236,88,64
ZNF253	67,41,14
ZNF256	165,207,2
ZNF257	119,173,204
ZNF260	168,196,223
ZNF26	216,70,153
ZNF263	112,56,224
ZNF263	180,34,193
ZNF264	96,40,164
ZNF266	161,143,51
ZNF267	242,231,107
ZNF273	164,240,192
ZNF274	112,252,56
ZNF274	140,252,252
ZNF274	193,10,244
ZNF276	153,155,0
ZNF280A	179,205,182
ZNF280C	31,38,88
ZNF280D	254,194,253
ZNF281	113,221,136
ZNF282	143,140,179
ZNF283	63,124,66
ZNF284	183,114,164
ZNF285	30,11,230
ZNF287	216,63,151
ZNF28	83,187,155
ZNF292	106,196,153
ZNF300	249,126,100
ZNF302	59,221,88
ZNF304	195,198,98
ZNF30	6,117,85
ZNF311	79,168,233
ZNF316	249,106,130
ZNF317	83,145,140
ZNF318	196,28,56
ZNF319	154,243,174
ZNF3	202,29,115
ZNF320	5,179,128
ZNF322	54,97,241
ZNF324	90,161,59
ZNF329	186,139,57
ZNF331	54,94,4
ZNF333	166,54,106
ZNF335	112,168,112
ZNF337	87,73,10
ZNF33A	204,215,205
ZNF33B	33,221,121
ZNF341	128,196,105
ZNF34	37,213,191
ZNF343	9,150,74
ZNF350	237,196,215
ZNF35	132,123,37
ZNF354A	138,8,74
ZNF354B	2,117,27
ZNF354C	174,41,134
ZNF362	216,168,103
ZNF366	129,54,12
ZNF37A	127,187,71
ZNF383	6,69,221
ZNF384	196,56,224
ZNF391	91,220,80
ZNF394	11,196,19
ZNF395	210,133,219
ZNF397	254,233,6
ZNF398	169,199,59
ZNF404	225,253,105
ZNF407	183,37,115
ZNF408	167,151,254
ZNF410	3,175,68
ZNF41	186,247,232
ZNF416	249,167,187
ZNF417	65,183,14
ZNF418	8,135,235
ZNF423	218,117,57
ZNF425	35,233,76
ZNF426	3,93,19
ZNF429	156,70,48
ZNF430	131,22,163
ZNF431	168,93,222
ZNF432	57,219,23
ZNF433	9,28,242
ZNF436	173,65,192
ZNF440	52,122,45
ZNF441	132,206,216
ZNF444	181,16,13
ZNF445	207,103,178
ZNF44	52,107,213
ZNF449	185,126,64
ZNF454	147,10,37
ZNF460	95,165,210
ZNF462	50,76,14
ZNF467	117,58,64
ZNF468	217,32,253
ZNF473	119,53,250
ZNF479	167,112,171
ZNF480	237,166,180
ZNF483	189,69,50
ZNF484	90,96,190
ZNF485	225,204,26
ZNF487	179,202,110
ZNF488	16,214,168
ZNF48	86,146,78
ZNF490	108,82,253
ZNF491	70,243,7
ZNF492	24,117,84
ZNF493	7,204,241
ZNF496	142,106,130
ZNF501	56,5,181
ZNF502	25,209,211
ZNF503	24,5,74
ZNF506	139,168,155
ZNF507	15,195,73
ZNF510	185,213,95
ZNF512	241,191,191
ZNF512B	120,36,181
ZNF513	222,232,116
ZNF514	92,156,126
ZNF518A	30,223,42
ZNF519	196,78,219
ZNF521	12,49,54
ZNF524	89,7,53
ZNF527	134,1,47
ZNF528	180,131,93
ZNF529	4,131,207
ZNF530	62,139,82
ZNF532	9,83,9
ZNF534	34,138,61
ZNF540	123,194,84
ZNF543	231,242,24
ZNF544	199,39,40
ZNF547	120,31,241
ZNF548	204,236,234
ZNF549	147,4,176
ZNF550	159,70,250
ZNF554	21,85,173
ZNF555	140,236,172
ZNF557	143,92,119
ZNF558	47,46,93
ZNF560	215,174,173
ZNF561	18,220,76
ZNF563	14,248,102
ZNF565	57,225,125
ZNF566	67,146,110
ZNF567	127,251,78
ZNF570	213,214,7
ZNF571	187,64,157
ZNF57	125,145,194
ZNF572	255,142,5
ZNF573	162,38,246
ZNF574	24,14,5
ZNF577	123,20,226
ZNF579	181,49,101
ZNF580	83,211,20
ZNF582	54,193,20
ZNF583	63,206,61
ZNF584	196,84,140
ZNF585A	124,63,147
ZNF585B	132,220,15
ZNF586	81,221,169
ZNF587	124,111,135
ZNF589	196,84,196
ZNF592	196,84,84
ZNF595	107,177,14
ZNF596	191,164,68
ZNF597	253,116,215
ZNF598	12,243,127
ZNF605	1,32,19
ZNF609	201,187,135
ZNF610	223,204,184
ZNF611	77,82,3
ZNF613	162,233,229
ZNF614	159,159,209
ZNF616	137,229,94
ZNF621	187,151,199
ZNF622	7,186,199
ZNF623	139,94,216
ZNF624	54,191,217
ZNF626	135,177,95
ZNF627	153,123,249
ZNF629	245,136,102
ZNF639	224,112,112
ZNF641	61,208,63
ZNF644	112,224,140
ZNF645	145,78,93
ZNF649	190,187,10
ZNF652	189,165,208
ZNF654	93,13,181
ZNF658	140,119,80
ZNF660	32,77,148
ZNF662	223,183,190
ZNF664	76,17,237
ZNF667	123,187,90
ZNF669	252,35,26
ZNF670	130,76,220
ZNF671	81,19,39
ZNF674	95,34,34
ZNF675	158,222,114
ZNF677	63,248,7
ZNF680	239,95,231
ZNF681	232,10,30
ZNF684	211,38,42
ZNF687	196,156,63
ZNF692	3,224,149
ZNF695	63,222,177
ZNF696	38,43,147
ZNF697	145,197,88
ZNF700	207,229,103
ZNF701	225,200,39
ZNF704	152,238,91
ZNF707	183,193,24
ZNF708	211,107,52
ZNF711	70,207,61
ZNF714	187,110,206
ZNF716	104,227,222
ZNF7	17,94,88
ZNF730	29,237,45
ZNF736	236,168,179
ZNF737	148,76,12
ZNF740	224,112,252
ZNF747	104,86,125
ZNF749	156,192,219
ZNF750	56,56,84
ZNF75A	186,128,214
ZNF75A	222,187,69
ZNF764	200,234,13
ZNF765	172,140,254
ZNF766	224,112,28
ZNF766	238,79,55
ZNF768	89,221,207
ZNF76	89,219,219
ZNF770	108,220,107
ZNF77	33,44,74
ZNF774	86,233,95
ZNF776	74,24,158
ZNF777	114,153,195
ZNF778	145,74,232
ZNF780A	40,8,185
ZNF781	163,124,163
ZNF783	101,47,86
ZNF784	205,125,7
ZNF785	12,126,10
ZNF786	193,132,156
ZNF789	113,221,18
ZNF791	86,68,114
ZNF79	206,62,13
ZNF792	96,10,189
ZNF799	52,121,26
ZNF800	205,174,197
ZNF808	245,224,238
ZNF81	156,41,41
ZNF816	25,104,159
ZNF8	182,120,84
ZNF823	192,236,56
ZNF830	228,126,194
ZNF83	224,112,56
ZNF837	181,61,194
ZNF84	131,155,58
ZNF843	44,85,154
ZNF846	173,71,11
ZNF85	157,231,208
ZNF860	249,2,188
ZNF879	136,179,55
ZNF880	157,204,36
ZNF883	93,221,243
ZNF891	49,175,185
ZNF90	124,1,158
ZNF92	112,224,168
ZNF93	16,238,1
ZSCAN16	242,81,150
ZSCAN18	44,105,243
ZSCAN2	111,62,1
ZSCAN21	247,64,47
ZSCAN22	159,35,51
ZSCAN23	76,86,112
ZSCAN26	145,204,16
ZSCAN29	202,33,4
ZSCAN30	122,219,229
ZSCAN31	202,91,177
ZSCAN4	71,56,63
ZSCAN5A	118,205,67
ZSCAN5C	56,108,80
ZXDB	153,136,66
ZXDC	122,191,150
ZZZ3	196,140,28
